"","x"
"1175","BAZ1B"
"1176","BAZ2A"
"1177","BAZ2B"
"1178","BBC3"
"1179","BBIP1"
"1180","BBS1"
"1181","BBS10"
"1182","BBS12"
"1183","BBS2"
"1184","BBS4"
"1185","BBS5"
"1186","BBS7"
"1187","BBS9"
"1188","BBX"
"1189","BCAM"
"1190","BCAN"
"1191","BCAP29"
"1192","BCAP31"
"1193","BCAR3"
"1194","BCAS1"
"1195","BCAS3"
"1196","BCAS4"
"1197","BCAT1"
"1198","BCDIN3D"
"1199","BCHE"
"1200","BCKDHA"
"1201","BCKDHB"
"1202","BCKDK"
"1203","BCL10"
"1204","BCL11B"
"1205","BCL2A1"
"1206","BCL2L10"
"1207","BCL2L11"
"1208","BCL2L12"
"1209","BCL2L13"
"1210","BCL2L14"
"1211","BCL2L15"
"1212","BCL2L2"
"1213","BCL3"
"1214","BCL6"
"1215","BCL6B"
"1216","BCL7A"
"1217","BCL7B"
"1218","BCL7C"
"1219","BCL9"
"1220","BCL9L"
"1221","BCMO1"
"1222","BCO2"
"1223","BCOR"
"1224","BCORL1"
"1225","BDH1"
"1226","BDH2"
"1227","BDKRB1"
"1228","BDKRB2"
"1229","BDNF"
"1230","BEAN1"
"1231","BEGAIN"
"1232","BEND2"
"1233","BEND4"
"1234","BEND5"
"1235","BEND6"
"1236","BEND7"
"1237","BEST1"
"1238","BEST3"
"1239","BEST4"
"1240","BET1L"
"1241","BET3L"
"1242","BEX1"
"1243","BEX2"
"1244","BEX4"
"1245","BEX5"
"1246","BFAR"
"1247","BFSP1"
"1248","BFSP2"
"1249","BGLAP"
"1250","BGN"
"1251","BHLHA15"
"1252","BHLHA9"
"1253","BHLHB9"
"1254","BHLHE23"
"1255","BHLHE40"
"1256","BHLHE41"
"1257","BHMT"
"1258","BHMT2"
"1259","BICC1"
"1260","BICD1"
"1261","BICD2"
"1262","BID"
"1263","BIK"
"1264","BIN1"
"1265","BIN2"
"1266","BIN3"
"1267","BIRC2"
"1268","BIRC3"
"1269","BIRC6"
"1270","BIRC7"
"1271","BIRC8"
"1272","BIVM"
"1273","BLCAP"
"1274","BLID"
"1275","BLK"
"1276","BLMH"
"1277","BLNK"
"1278","BLOC1S2"
"1279","BLOC1S4"
"1280","BLOC1S5"
"1281","BLOC1S6"
"1282","BLVRA"
"1283","BLVRB"
"1284","BLZF1"
"1285","BMF"
"1286","BMI1"
"1287","BMP1"
"1288","BMP10"
"1289","BMP15"
"1290","BMP2"
"1291","BMP2K"
"1292","BMP3"
"1293","BMP4"
"1294","BMP5"
"1295","BMP6"
"1296","BMP7"
"1297","BMP8A"
"1298","BMP8B"
"1299","BMPR1A"
"1300","BMPR1B"
"1301","BMPR2"
"1302","BMX"
"1303","BNC1"
"1304","BNC2"
"1305","BNIP2"
"1306","BNIP3"
"1307","BNIP3L"
"1308","BNIPL"
"1309","BOC"
"1310","BOD1"
"1311","BOK"
"1312","BOLA1"
"1313","BOLA2"
"1314","BOLA2B"
"1315","BOLA3"
"1316","BOLL"
"1317","BPGM"
"1318","BPHL"
"1319","BPI"
"1320","BPIFA1"
"1321","BPIFA2"
"1322","BPIFA3"
"1323","BPIFB1"
"1324","BPIFB2"
"1325","BPIFB3"
"1326","BPIFB4"
"1327","BPIFB6"
"1328","BRAP"
"1329","BRAT1"
"1330","BRCC3"
"1331","BRD1"
"1332","BRD2"
"1333","BRD3"
"1334","BRD7"
"1335","BRI3"
"1336","BRI3BP"
"1337","BRICD5"
"1338","BRMS1"
"1339","BRMS1L"
"1340","BROX"
"1341","BRPF3"
"1342","BRS3"
"1343","BRSK1"
